order,family,upham_species,mdd_species,mcc_tree_name,sex_chr,citation
CETARTIODACTYLA,BOVIDAE,Gazella_arabica,Gazella_arabica,Gazella_arabica_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Gazella_bennettii,Gazella_bennettii,Gazella_bennettii_BOVIDAE_CETARTIODACTYLA,1,Kumamoto et al 1995
CETARTIODACTYLA,BOVIDAE,Gazella_cuvieri,Gazella_cuvieri,Gazella_cuvieri_BOVIDAE_CETARTIODACTYLA,1,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Gazella_dorcas,Gazella_dorcas,Gazella_dorcas_BOVIDAE_CETARTIODACTYLA,1,Effron et al 1976
CETARTIODACTYLA,BOVIDAE,Gazella_gazella,Gazella_gazella,Gazella_gazella_BOVIDAE_CETARTIODACTYLA,1,Effron et al 1976
CETARTIODACTYLA,BOVIDAE,Gazella_leptoceros,Gazella_leptoceros,Gazella_leptoceros_BOVIDAE_CETARTIODACTYLA,1,Effron et al 1976
CETARTIODACTYLA,BOVIDAE,Gazella_spekei,Gazella_spekei,Gazella_spekei_BOVIDAE_CETARTIODACTYLA,1,Effron et al 1976
CETARTIODACTYLA,BOVIDAE,Gazella_subgutturosa,Gazella_subgutturosa,Gazella_subgutturosa_BOVIDAE_CETARTIODACTYLA,1,Effron et al 1976
CETARTIODACTYLA,BOVIDAE,Hemitragus_jemlahicus,Hemitragus_jemlahicus,Hemitragus_jemlahicus_BOVIDAE_CETARTIODACTYLA,0,Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Hippotragus_equinus,Hippotragus_equinus,Hippotragus_equinus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Hippotragus_niger,Hippotragus_niger,Hippotragus_niger_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Kobus_ellipsiprymnus,Kobus_ellipsiprymnus,Kobus_ellipsiprymnus_BOVIDAE_CETARTIODACTYLA,0,Kingswood et al 1998
CETARTIODACTYLA,BOVIDAE,Kobus_kob,Kobus_kob,Kobus_kob_BOVIDAE_CETARTIODACTYLA,0,Kingswood et al 2000
CETARTIODACTYLA,BOVIDAE,Kobus_leche,Kobus_leche,Kobus_leche_BOVIDAE_CETARTIODACTYLA,0,Kingswood et al 2000
CETARTIODACTYLA,BOVIDAE,Kobus_megaceros,Kobus_megaceros,Kobus_megaceros_BOVIDAE_CETARTIODACTYLA,0,Kingswood et al 2000
CETARTIODACTYLA,BOVIDAE,Kobus_vardonii,Kobus_vardonii,Kobus_vardonii_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Litocranius_walleri,Litocranius_walleri,Litocranius_walleri_BOVIDAE_CETARTIODACTYLA,0,Wurster and Benirschke 1968
CETARTIODACTYLA,BOVIDAE,Madoqua_guentheri,Madoqua_guentheri,Madoqua_guentheri_BOVIDAE_CETARTIODACTYLA,0,Kingswood and Kumamoto 1996
CETARTIODACTYLA,BOVIDAE,Madoqua_kirkii,Madoqua_kirkii,Madoqua_kirkii_BOVIDAE_CETARTIODACTYLA,0,Cernohorska et al 2011
CETARTIODACTYLA,BOVIDAE,Madoqua_piacentinii,Madoqua_piacentinii,Madoqua_piacentinii_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Madoqua_saltiana,Madoqua_saltiana,Madoqua_saltiana_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Naemorhedus_baileyi,Naemorhedus_baileyi,Naemorhedus_baileyi_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Naemorhedus_caudatus,Naemorhedus_caudatus,Naemorhedus_caudatus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Naemorhedus_goral,Naemorhedus_goral,Naemorhedus_goral_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Naemorhedus_griseus,Naemorhedus_griseus,Naemorhedus_griseus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Nanger_dama,Nanger_dama,Nanger_dama_BOVIDAE_CETARTIODACTYLA,1,"Cernohorska et al, 2012"
CETARTIODACTYLA,BOVIDAE,Nanger_granti,Nanger_granti,Nanger_granti_BOVIDAE_CETARTIODACTYLA,1,"Effron et al, 1976"
CETARTIODACTYLA,BOVIDAE,Nanger_soemmerringii,Nanger_soemmerringii,Nanger_soemmerringii_BOVIDAE_CETARTIODACTYLA,1,"Steiner et al, 2015"
CETARTIODACTYLA,BOVIDAE,Neotragus_batesi,Nesotragus_batesi,Neotragus_batesi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Neotragus_pygmaeus,Neotragus_pygmaeus,Neotragus_pygmaeus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Nesotragus_moschatus,Nesotragus_moschatus,Nesotragus_moschatus_BOVIDAE_CETARTIODACTYLA,0,Kingswood et al 1998
CETARTIODACTYLA,BOVIDAE,Nilgiritragus_hylocrius,Nilgiritragus_hylocrius,Nilgiritragus_hylocrius_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Oreamnos_americanus,Oreamnos_americanus,Oreamnos_americanus_BOVIDAE_CETARTIODACTYLA,0,Gropp et al 1970
CETARTIODACTYLA,BOVIDAE,Oreotragus_oreotragus,Oreotragus_oreotragus,Oreotragus_oreotragus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Oryx_beisa,Oryx_beisa,Oryx_beisa_BOVIDAE_CETARTIODACTYLA,0,Kumamoto et al 1999
CETARTIODACTYLA,BOVIDAE,Oryx_dammah,Oryx_dammah,Oryx_dammah_BOVIDAE_CETARTIODACTYLA,0,Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Oryx_gazella,Oryx_gazella,Oryx_gazella_BOVIDAE_CETARTIODACTYLA,0,Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Oryx_leucoryx,Oryx_leucoryx,Oryx_leucoryx_BOVIDAE_CETARTIODACTYLA,0,Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Ourebia_ourebi,Ourebia_ourebi,Ourebia_ourebi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Ovibos_moschatus,Ovibos_moschatus,Ovibos_moschatus_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Ovis_ammon,Ovis_ammon,Ovis_ammon_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Ovis_aries,Ovis_aries,Ovis_aries_BOVIDAE_CETARTIODACTYLA,0,Iannuzzi et al 1995
CETARTIODACTYLA,BOVIDAE,Ovis_canadensis,Ovis_canadensis,Ovis_canadensis_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Ovis_dalli,Ovis_dalli,Ovis_dalli_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Ovis_nivicola,Ovis_nivicola,Ovis_nivicola_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Ovis_orientalis,Ovis_gmelinii,Ovis_orientalis_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Pantholops_hodgsonii,Pantholops_hodgsonii,Pantholops_hodgsonii_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Pelea_capreolus,Pelea_capreolus,Pelea_capreolus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Philantomba_maxwellii,Philantomba_maxwellii,Philantomba_maxwellii_BOVIDAE_CETARTIODACTYLA,0,Robinson et al 1996
CETARTIODACTYLA,BOVIDAE,Philantomba_monticola,Philantomba_monticola,Philantomba_monticola_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Philantomba_walteri,Philantomba_walteri,Philantomba_walteri_BOVIDAE_CETARTIODACTYLA,NA,
